from,to
Jacqueline Kennedy,John F. Kennedy Jr.
Wesley McD. Holder,Edward I. Koch
Jim Jensen,Walter Cronkite
Richard H. Poff,Bill Clinton
Patsy Southgate,Irwin Shaw
Jerry S. Parr,James S. Brady
Anna Sosenko,Irving Berlin
Bob Ebeling,George Bush
Willie Mosconi,Jackie Gleason
Henry Mancini,Miklos Rozsa
Geoffrey Parsons,Elisabeth Schwarzkopf
Enrique Espinoza,Loretta Hines
John B. Oakes,Lyndon B. Johnson
Jacqueline Kennedy,Mike Nichols
Coley Welch,Jake LaMotta
Clancy Sigal,Barbara Stanwyck
Walter Wager,Charles Bronson
Peter Sallis,Orson Welles
Jerry Ragovoy,Erma Franklin
Vincent A. Marchiselli,Mario Biaggi
Samuel J. Silverman,Meyer Levin
Ellie Greenwich,Hal David
David Summers,Salvatore J. Licata
Cardinal Jozef Glemp,Wojciech Jaruzelski
Buddy Rich,John S. Wilson
Philipp Missfelder,Vladimir V. Putin
Donald Judd,Dan Flavin
Richard Sale,Sterling Hayden
Hal Bruno,Shel Silverstein
Gerard Alessandrini,Mel Gussow
Milton Blutnick,Elie Wiesel
Philip Fradkin,Jackie Coogan
Alta Jablow,Martha Graham
Archie Bunker,Sammy Davis Jr.
Oliver Smith,Lyn Austin
Sidney Lumet,Raf Vallone
William Reynolds,Richard Widmark
Robin Wood,Jean Arthur
Walter Galenson,John T. Dunlop
Jim Brosnan,Lou Boudreau
Saint Subber,Bella Spewack
Michael Rossman,Mario Savio
Eric Sykes,Peter Sellers
James H. Douglas Jr.,Herbert Hoover
Donald Saddler,Betty Comden
The Panchen Lama,Zhao Ziyang
Judith A. Jacobs,Martha Stewart
Raoul Berger,Franklin D. Roosevelt
Moses Polakoff,Meyer Lansky
Nicolas Noxon,Mike Wallace
Arnold Moss,Lewis Nichols
Hedda Sterne,Saul Steinberg
Irwin Stark,Joseph R. McCarthy
Clay Blair,Matthew J. Culligan
Daniel K. Inouye,John N. Mitchell
Chris Griffin,Charlie Parker
Al Hirschfeld,Jack Benny
Sugar Ray Robinson,Muhammad Ali
Enrico Donati,Salvador Dali
Alan Burnham,Ada Louise Huxtable
Alan Sillitoe,John Osborne
William G. Harrington,Peter Falk
Pierre Koenig,Julius Shulman
Frederick Henry Osborn,Andrei A. Gromyko
Frederick L. Ashworth,Charles W. Sweeney
Jose Maria Gironella,Alfred A. Knopf
Marian Anderson,Isaac Stern
Irving B. Kahn,Ingemar Johansson
David Garth,Eugene J. McCarthy
Ronald Shannon Jackson,Sonny Sharrock
Sally Ride,Johnny Carson
Laura Z. Hobson,Elia Kazan
George Bamberger,Mike Cuellar
Milton M. Rosenbloom,Mary Pickford
Sophie Maslow,Martha Graham
Edward Ball,JOSH BARBANEL
William Asher,Elizabeth Montgomery
Pauline Maier,Thomas Jefferson
Rita Valentine Tishman,Dore Schary
Tim Johnson,Jimmy Roberts
Jerald C. Brauer,Mircea Eliade
Patrick Macnee,Christopher Lee
Jerome Schnur,Alvin Ailey
Deng Jiaxian,Zhao Ziyang
Percy Sledge,James Brown
Elizabeth Forsling Harris,Walter Winchell
Harry Rubenstein,Katherine Dunham
Jacques Lowe,Lyndon B. Johnson
John Belushi,Truman Capote
William Meiklejohn,Nancy Reagan
Raphael Philipson,James Baldwin
William Norton,Burt Lancaster
Wycliffe Johnson,Bob Marley
Robert T. Stevens,Franklin D. Roosevelt
Morris A. Shenker,James R. Hoffa
Betty Ford,Richard M. Nixon
Robert Garcia,Jack Kemp
Le Duc Tho,Lyndon B. Johnson
David Margulies,Mel Gussow
Paul Bowles,Virgil Thomson
David Huddleston,Olson Johnson
Art Buchwald,Jack Valenti
Timothy Egan Lenahan,Bryn Mawr
Bernie Friedkin,Bert Sugar
John W. Finney,Mike Mansfield
Von Freeman,John Coltrane
Walter E. Jagiello,John Paul II
Jon Vickers,Buenos Aires
Bill Skowron,Roger Maris
William Powell,Nick Charles
Ruth West,Robert C. Atkins
Frank Lautenberg,Bill Bradley
Margaret Bronson,Dame Judith Anderson
Phil Ramone,Marilyn Monroe
Muriel Topaz,Jerome Robbins
William Wyler,Sidney Kingsley
Judith Malina,Susan Sontag
Edward Hotaling,Kentucky Derby
Marjorie Kellogg,Otto Preminger
Sam Locke,Sam Levene
Tobias Schneebaum,Rufino Tamayo
Phil Woods,Billy Joel
Frank J. Lausche,Richard M. Nixon
Kenneth Dale McCormick,John T. Sargent
Peter Stone,Audrey Hepburn
Sena Jurinac,Leonard Bernstein
Al Sharpton,John V. Lindsay
Jacques Barzun,Daniel J. Boorstin
Julius Monk,Carolyn Leigh
Eddie O'Brien,Bing Crosby
Lorene Yarnell,Joan Rivers
Teddy Wilburn,Roy Acuff
Marion P. Ames,Nelson A. Rockefeller
Paul Williams,Philip K. Dick
Jonathan Kwitny,John Paul
Harold E. Samuel,Lotte Lenya
Bertram L. Clarke,David Rockefeller
Ben E. King,Solomon Burke
Don Cherry,Gato Barbieri
Olson Johnson,Jackie Robinson
Howard W. Hunter,Ezra Taft Benson
Helen M. Strauss,Ralph Ellison
Hurd Hatfield,Lilli Palmer
Elena G. Bonner,Aleksandr Solzhenitsyn
Julian Goodman,Spiro T. Agnew
Franz Schurmann,Mary McCarthy
Irving Layton,Robert Creeley
John W. Kluge,Kenneth Noland
Eric Nave,Stephen E. Ambrose
Steve Sabol,Art Modell
Carolyn Leigh,Frank Sinatra
Jorge Amado,Alfred A. Knopf
John Frankenheimer,Richard Condon
Torrie Zito,Frank Sinatra
Frederick R. Karl,Ralph Ellison
Eileen G. Slocum,David Rockefeller
Joe Frazier,Archie Moore
Betty Comden,Carol Burnett
Frederick C. LaRue,Richard M. Nixon
Robert Hans Goetz,Christiaan N. Barnard
Chuck Wayne,George Wallington
Godfrey Sperling Jr.,William Proxmire
Louise Nevelson,Henry Moore
Harry William Guttenberg,Virginia Graham
Elizabeth Taylor,Carrie Fisher
Roger Huntington Sessions,Milton Babbitt
Clancy Carlile,Sidney Poitier
David B. McCall,Richard C. Holbrooke
Pietro Belluschi,Josep Lluis Sert
Mendes Hershman,Hugh L. Carey
Bill Richmond,Chet Baker
Lesley Blanch,Truman Capote
Dick Schaap,George Steinbrenner
Omar Bongo,Lyndon B. Johnson
Charles O. Finley,Dick Williams
Fernand Ledoux,Marcel Carne
F. Trowbridge,Nelson A. Rockefeller
Nancy Reagan,Gerald R. Ford
Jim Jacobs,Jose Torres
Rubenstein Newman,Anthony Perkins
Ralph Brown,Charlie Parker
George Raft,Fay Wray
Eleanor Naumburg Sanger,Van Cliburn
Cary Reich,Bill Thomas
Dick Merrill,Jackie Coogan
Lee Lorch,Thurgood Marshall
Louis Malle,Pauline Kael
Abraham D. Beame,Niagara Falls
Ruth Orkin,Jimmy Breslin
Paul Laffoley,Minoru Yamasaki
Thomas Babe,Dixie Carter
Vic Gold,John J. Marchi
Nicolai Gedda,Howard Taubman
John V. Lindsay,Herbert Brownell Jr.
Leroy E. Burney,Lyndon B. Johnson
Edward Gorey,Charles Addams
Eddie Fisher,Elizabeth Taylor
Francesco Siciliani,Renata Tebaldi
George Sugarman,Anthony Caro
Edwin Denby,Orson Welles
Laurence I. Radway,Bill Clinton
Harry S. Ashmore,Daisy Bates
Nils Asther,Greta Garbo
Donald R. Seawell,Elaine Stritch
George Coe,Gilda Radner
John Hightower,Nelson A. Rockefeller
Margaret Thatcher,Hugo Young
Ruth Ford,Edward Albee
Roy L. Ash,Richard M. Nixon
Martin Fried,George Tabori
Mount Sinai Medical Center,Ina Claire
Maurice Oldfield,James Bond
Richard Meryman,Ingmar Bergman
Miriam Schapiro,Mauricio Lasansky
Barbara Cook,George Bush
Helen Thomas,John N. Mitchell
Godfrey Sperling Jr.,Nora Ephron
Gen. Andre Devigny,Klaus Barbie
Katie Louchheim,Donald S. Klopfer
Mstislav Rostropovich,Sviatoslav Richter
Ernst Beyeler,Thomas Ammann
Anne Jackson,John Jackson
Robert Howard Metzger,Monte Carlo
Nancy Susan Reynolds,Smith W. Bagley
Suzy Parker,Eileen Ford
Jerry Garcia,Merl Saunders
Betty Walker,Julie Harris
Dietrich Fischer-Dieskau,Hans Werner Henze
David T. McLaughlin,Gerald R. Ford
Stanley William Hayter,Pablo Picasso
Goldwater Memorial Hospital,Jackie McLean
Connie Wald,Woody Allen
Donald J. Trump,Abbie Hoffman
Donald T. Regan,Molly Ivins
Milan Stitt,Paul Zindel
Robert E. Lee,Janet Waldo
Henry Cooper,George Cooper
George M. Wallhauser,William T. Cahill
Martin Roth,Alexander McQueen
Y. A. Tittle,John Henry Johnson
Dick Katz,Carmen McRae
Gil Evans,John Lewis
Robert T. Stevens,Joseph R. McCarthy
Lawrence Sacharow,Janusz Glowacki
Joe Pass,Ella Fitzgerald
Paulus Berensohn,Merce Cunningham
Helen Yglesias,Jose Yglesias
Sophie Reuther,Victor Reuther
Antonio G. Olivieri,Edward I. Koch
Dame Freya Stark,Stewart Perowne
Laurence Olivier,Douglas MacArthur
Lillian Carter,Mickey Spillane
William Phillips,Elizabeth Hardwick
Paul Nelson,Rod Stewart
Peter Woodthorpe,Peter Hall
Paul E. Tsongas,Bill Clinton
Emil Mogul,Barney Pressman
Norman Brokaw,Betty Ford
Herbert J. Miller Jr.,Edward Bennett Williams
Ella Fitzgerald,Billie Holiday
Lester Rawlins,Tony Award
Betsy Blair,Frank Sinatra
M. Stanton Evans,Joseph R. McCarthy
Ernst Zndel,Raul Hilberg
Morton A. Zolotow,Ethel Merman
L. Rust Hills,Raymond Carver
McGeorge Bundy,Louis Auchincloss
John Guedel,Franklin D. Roosevelt
William Francis Gallagher,Helen Keller
Bobby Layne,Doak Walker
Nancy Malone,Tom Moore
Warren Weaver Jr.,Thomas E. Dewey
Martin Esslin,Eugene Ionesco
Chris Borgen,Walter Cronkite
Gretchen Wyler,Shepard Coleman
Joseph Maher,Tony Awards
Gianni Giansanti,Primo Levi
Frederick Baron,Bill Clinton
Jake W. Lindsey,George C. Marshall
Cape Cod,Albert Einstein
Jason Robards,Sam Peckinpah
Theodore G. Shackley,Robert F. Kennedy
Mike Clarke,Gene Clark
Andrei Voznesensky,Robert F. Kennedy
Michael D. Palm,Warren E. Buffett
Brooks Atkinson,Jason Robards
Abraham Worcel,Buenos Aires
Ileana Sonnabend,Mario Merz
Serge Hovey,Jean Redpath
Paul Rose,Rene Levesque
Louise Nevelson,George Segal
John Ball,Sidney Poitier
Janet Leigh,Charlton Heston
Buddy Tate,Arnett Cobb
Sam Yorty,John F. Kennedy
Margaret W. Poe,Van Johnson
Eric Sevareid,Daniel Schorr
Keith R. PorterKeith R. Porter,Albert Claude
Lawrence Brown,Ruby Braff
Carol Brandt,Marcia Davenport
Samuel Bronston,Jack London
Bonnie Cashin,Ralph Lauren
Joan Edwards,Frank Sinatra
Belding H. Scribner,Willem J. Kolff
George Shearing,Chuck Wayne
Michael Harari,James Bond
Larry Mathews,Marilyn Monroe
Max Patkin,Neil Armstrong
Lenore Lonergan,Norman Krasna
Phil Ramone,Frank Sinatra
Billy Rogell,Leo Durocher
Paul Wasserman,Frank Sinatra
Walter H. Annenberg,Richard M. Nixon
Jerry Robinson,Cesar Romero
John E. Grenier,Barry M. Goldwater
Ernest Borgnine,James Arness
Rosetta LeNoire,Orson Welles
Edwin Margolis,Stanley Fink
Louis Malle,Miles Davis
George Sauer,Joe Namath
Pauline Frederick,Jimmy Carter
Frankie Laine,Bing Crosby
Sergio Peresson,Ivan Galamian
Robert R. R. Brooks,Francis Brown
Frederick M. Lussen,Patrick V. Murphy
Screamin' Jay Hawkins,Nina Simone
Barney Stein,Ralph Branca
Ray Harryhausen,Laurence Olivier
Rosanne Klass,Harrison E. Salisbury
John Casablancas,Eileen Ford
Rosalinde Fuller,Queen Elizabeth II
Jack Lemmon,Stanley Kauffmann
L. Nicholas Ruwe,Ronald Reagan
Whitney Houston's,Jackie Robinson
Willie Davis,Don Drysdale
Steve Wolfe,Vladimir Nabokov
Carl Davis,Tyrone Davis
Tony Randall,Steve Allen
James Best,James Stewart
Samuel Y. Gibbon,Longboat Key
Stan Freeman,Emmy Award
Peter Sellers,Spike Milligan
Daniel Massey,Anna Massey
Ainslee Cox,Leonard Bernstein
Jack Segal,Borscht Belt
Ken Danby,Niagara Falls
Tom Killefer,Johnson Administrations
David Garvey,Beveridge Webster
Glen Campbell,Joe Namath
Sandra W. Meyer,Wendy Wasserstein
Morris Graves,Indira Gandhi
Jesse L. Steinfeld,Richard M. Nixon
John M. Cannella,John F. Kennedy
Earl Weaver,Mark Belanger
Paul M. Steinberg,Stony Brook
Marco Ferreri,Philippe Noiret
Lothar Schmid,Viktor Korchnoi
Leonard Gershe,Harold Eliot Krents
Arthur Mercante Sr,Ingemar Johansson
Chet Hoff,Walter Johnson
Josef Greindl,Carl Orff
Ralstone R. Irvine,Howard Hughes
Jean Louis,Marilyn Monroe
Hubert Potter Earle,Bryn Mawr
Rachel Gurney,John Gielgud
Roberta Sherwood,Mickey Rooney
Arthur R. Taylor,Richard M. Nixon
Eva Glimcher,Kenneth Noland
Paul A. Sergios,Alfred A. Knopf
Jason Bernard,Wilma Rudolph
Robert L. Hardesty,Lyndon B. Johnson
Jean Stapleton,Jose Quintero
Charles Lane,Perry Mason
Michael Denison,Vincent Canby
CBS News,Walter Cronkite
Alec R. Jack,Sylvan C. Coleman
Zephania Lekoane Mothopeng,Nelson Mandela
Cary Grant,Virginia Cherrill
Walter F. Heiligenberg,Theodore H. Bullock
Bernard Kilbourn,Ronald Reagan
Kazimierz Dziewanowski,Tadeusz Mazowiecki
Hal Ashby,Haskell Wexler
Fred Peters,Glen Cove
Muriel Bentley,Jose Greco
Charles Henri Ford,Man Ray
Nika Hazelton,Harold Hazelton
Gant Gaither,Debbie Reynolds
Jack S. Schiff,Staten Island
Benjamin H. Kean,Jimmy Carter
Vasiliki Johnides,George Plimpton
William Carter,Pearl Lang
Trumbull Higgins,Douglas MacArthur
Harry Salter,Lanny Ross
Elliot Forbes,Louis Armstrong
Stanislaw Lem,Philip K. Dick
Charles Denner,Claude Berri
Earl B. Dickerson,Diane Dickerson Montgomery
Lee Guber,Shelly Gross
Carl Hubbell,Babe Ruth
Ferdinand Mendenhall,Ronald Reagan
Hugh L. Carey,Ronald Reagan
Forrest Perrin,Frank Sinatra
Lev Navrozov,Andrei Sinyavsky
Justin N. Feldman,John V. Lindsay
Albert H. Gordon,John C. Whitehead
Kim Merker,Philip Levine
Jimmy Bivins,Ezzard Charles
Parmenia Migel Ekstrom,Pablo Picasso
Barbara Stanwyck,Frank Capra
Buddy Lester,Sammy Davis Jr.
Dill Jones,Budd Johnson
Norris D. McWhirter,Roger Bannister
Flip Wilson,Dick Gregory
Tommy Henrich,Joe DiMaggio
Mildred Bailey,Harry James
William McCormick Blair Jr.,John F. Kennedy
Jack Iams,Jose Ferrer
Huw Wheldon,Queen Elizabeth II
John W. Nason,Joseph R. McCarthy
Frank X. Graves Jr.,Allen Ginsberg
Joe Brainard,Kenneth Koch
Mortimor S. Gordon,Nelson A. Rockefeller
Philip W. Barber,Meredith Willson
Johnny Hartman,Dizzy Gillespie
Lew R. Wasserman,Tony Curtis
Vladimir Sokoloff,William Primrose
Barbara Baxley,George Grizzard
Glenn Anders,Lynn Fontanne
Milton Taylor,George Washington
Jose Estenssoro,Michael Young
Herbert Bayer,Robert O. Anderson
Jerry Lewis,Johnny Carson
Karlheinz Stockhausen,John Cage
Gavin Lambert,Lindsay Anderson
Leonore Annenberg,Barbara Sinatra
E. Ross Buckley,William F. Buckley Jr.
Tom Aldredge,Richard Eder
Sam Andrew,James Gurley
Jonathan Crombie,Kevin Sullivan
Ken Nelson,Hank Thompson
Irving Brecher,Jackie Gleason
Daphne Bayne Hellman,Sandy Bull
Mr. Hentoff,Nat Hentoff
William R. Ferris,Jesse Helms
Chester Collier,Steve Allen
Arthur J. Haggerty,Hugh Hefner
Martin Luther King Sr,Jimmy Carter
James Kirkwood,Mary Martin
Anna Moffo,Joan Sutherland
John O. Emmerich,Michael Roberts
William S. Blair,Willie Morris
Harold Clurman,Aaron Copland
Helen Boatwright,David Alexander
Edward Bland,Dizzy Gillespie
Leonid Ilyich Brezhnev,Aleksandr N. Shelepin
Lily Harmon,Helen Frankenthaler
Martin Fay,Luciano Pavarotti
James Mason,Paul Newman
Michael Dann,Mary Tyler Moore
M. H. Abrams,Francis Thompson
Rosella Hightower,Monte Carlo
Daniel Howard Cohen,Sidney Cohen
Sidney Sheldon,Cary Grant
Edward M. Davis,Daryl F. Gates
James Hawthorne Bey,Cab Calloway
Jim Spencer,Bowie Kuhn
William Goldberg,Lazare Kaplan
Kingman Brewster Jr.,Jimmy Carter
Whitlow Wyatt,Leo Durocher
Ed Victor,Felix Dennis
George Gallup,George Gallup Jr.
Buddy Ryan,Weeb Ewbank
Lillian Libman,Jan Peerce
Roger Starr,Abraham D. Beame
Marian Seldes,Garson Kanin
Jack Raymond,Rene Dubos
Hugh Bryant,Charlie Barnet
Ruth Brown,Frankie Laine
Heyward Isham,Richard M. Nixon
Jack Buck,Bob Murphy
Edmund W. Stevens,Mikhail S. Gorbachev
John Calley,Mike Nichols
Noel Willman,John Gielgud
Nathan C. Heard,Richard Wright
Robert Mayer,Adrian Boult
Kay Farrell,Douglas Fairbanks Jr.
Patrick Bissell,Kenneth MacMillan
Robert Mayer,Queen Elizabeth II
Ted Kroll,Julius Boros
Stewart R. Mott,Edmund S. Muskie
Abbey Lincoln,Marilyn Monroe
Leonard B. Boudin,Daniel Ellsberg
Doris Sams,Babe Ruth
Joseph Augustus Hahn,Fidel Castro
John L. Hess,Rudolf Bing
Larry Rivers,Tennessee Williams
Meyer Steinberg,Saul Steinberg
Budd Schulberg,Andy Griffith
John W. Wade,George C. Wallace
John Cage,Earle Brown
Ofra Haza,Yitzhak Rabin
David Huddleston,Gregory Peck
Chuck Stewart,John Coltrane
Nadia Nerina,Rudolf Nureyev
Robert A. Lewis,Malcolm Forbes
Jawaharlal Nehru,Indira Gandhi
George W. Irving Jr.,Richard M. Nixon
Rita Gam,Gregory Peck
Willis H. Ware,Elliot L. Richardson
Alan Jay Lerner's,Jerry Adler
Frederick L. Deming,Lyndon B. Johnson
Holly Woodlawn,Elizabeth Taylor
Jay Livingston,Sammy Cahn
Luis Garcia Berlanga,Luis Bunuel
Thelma Carpenter,Teddy Wilson
Michael Winner,Marlon Brando
Alec Guinness,Walter Kerr
Robert Louis Meyzen,Roger Fessaguet
Russ Meyer,Roger Ebert
Victor Borge,Mel Brooks
Robert C. Meade,Glen Head
Jean O'Leary,Bruce Voeller
Abraham D. Beame,Hugh L. Carey
Michael Higgins,Walter Kerr
Betty Freeman,Ansel Adams
Archibald MacLeish's,John Ringling North
Helen Keane,Harry Belafonte
R. Kenneth Mundy,Dan Rostenkowski
Bill Miller,Charlie Barnet
Byard Lancaster,John Coltrane
Santa Monica,Sally Kirkland
Edith Fellows,Dick Moore
Ring Lardner Jr.,Garson Kanin
Jean Rogers,Flash Gordon
Julio Galan,Robert Miller
David Winans,Ronald Winans
Buddy Kaye,Richard Burton
Murray Louis,Hanya Holm
Rachael Dunaven Yocom,Gertrude Shurr
Alfonso J. Zirpoli,Richard M. Nixon
Catherine McLeod,Don Keefer
T. J. Jemison,Fred L. Shuttlesworth
Amaryllis Fleming,John Williams
Peter Zvi Malkin,Adolf Eichmann
David Merrick,John Osborne
Carrie Fisher,Eddie Fisher
Robert C. W. Ettinger,Ted Williams
Ward Bennett,Lyndon B. Johnson
Moogy Klingman,Johnny Winter
John Eaton,Robert Moog
William Phillips,Diana Trilling
Jan Meyerowitz,Boris Goldovsky
Stubby Kaye,Lee Marvin
Zofia Gomulka,Wladyslaw Gomulka
Schuyler Chapin,Van Cliburn
Ellsworth Vines,Bunny Austin
Bill Johnson,Fred Astaire
Eleanor Gehrig,George Steinbrenner
Barbara McLean,Woodrow Wilson
Robert Whitehead,Jean Anouilh
Quentin Crewe,Peter Sellers
Robert Buchholz,Richard Rodney Bennett
Jule Styne,Charlie Spivak
Peter O'Toole,Katharine Hepburn
Laurence Olivier,Peggy Ashcroft
Tony Award-winning,Elisabeth Bergner
William J. Casey,Ronald Reagan
Carlos Baker,Vance Bourjaily
Pete V. Domenici,George W. Bush
Carmen Capalbo,Wendy Hiller
Billy Sullivan,Victor Kiam
F. Donald Nixon,Richard M. Nixon
Gore Vidal,Christopher Isherwood
Jack Leggett,William Saroyan
Edward F. Boyd,Walter S. Mack
Ben Cutler,Robert Moses
Harold E. Hughes,Edmund S. Muskie
Paul C. Warnke,Jimmy Carter
Rufino Tamayo,Jean Dubuffet
Benjamin Matthews,Boris Goldovsky
Nancy W. Green,Jules L. Green
Dorothy Collins,Raymond Scott
J. F. Powers,Nelson Algren
Nancy Lady Keith,Truman Capote
Yale Lary,George Plimpton
Caroline Gruss,Joseph S. Gruss
Wesley Rose,Fred Rose
Donald Barthelme,Thomas Bernhard
Martin J. Hillenbrand,Dean Rusk
Sam Spiegel,Orson Welles
Jimmy Scott,Marvin Gaye
Norman Taurog,Elvis Presley
Raymond A. Meany,Buenos Aires
David Levine,Ariel Sharon
Sam Mele,Al Lopez
Roger Shattuck,Francis Bacon
Earle C. Clements,Lyndon Baines Johnson
Gerd Albrecht,John Paul II
Alonzo Pettie,Harry Belafonte
Albert Harris,Hugh Leonard
William R. Cole,Barney Bigard
Oscar Janiger,Timothy Leary
Felicia Lamport,Benjamin Kaplan
Bobby Hutcherson,Billy Mitchell
Hans Ruesch,Henry Hathaway
Trevor Howard,John Gielgud
Diane Knippers,John Green
Mary MacCracken,Calvin Dodd MacCracken
Youri Egorov,Monte Carlo
Linda Hopkins,Clint Eastwood
Jean Anouilh,Richard Burton
Ed Victor,Iris Murdoch
Reiko Douglas,Earl Wilson
J. L. Chestnut Jr.,George Wallace
John T. Hughes,Ronald Reagan
Frederik G. H. Meijer,Sam Walton
Jack Rosenthal,Jacob Rosenthal
Michael Stewart,Paul Lynde
Karoly Grosz,Mikhail S. Gorbachev
Laurence W. Beilenson,Greta Garbo
Robert Ferdinand Wagner,Staten Island
Jules Olitski,Jean Dubuffet
Greta Garbo,William Stevenson
William Worthy,Robert F. Kennedy
Anselmo Colzani,Maria Callas
Arthur Ochs Sulzberger,Iphigene Ochs Sulzberger
Walter J. Cummings,Abbie Hoffman
Artie Traum,Bob Dylan
Reginald Denham,George Bernard Shaw
Stan Stearns,Lyndon B. Johnson
Robert Helps,George Perle
Jim Harrison,Orson Welles
Nicholas Roosevelt,Theodore Roosevelt
Wang Zhen,Huang Zhen
Rafael Quintero,John F. Kennedy
R. Peter Straus,Franklin D. Roosevelt
Yasir Arafat,Shimon Peres
Brock Yates,Terry Bradshaw
Hank Borowy,Claude Passeau
Susannah McCorkle,Antonio Carlos Jobim
James A. Nicholas,John F. Kennedy
Felice Bryant,Buddy Holly
Anthony Blunt,Margaret Thatcher
Peter Quennell,Robert Graves
Robert M. Hunt,Robert Maxwell
Dick Tufeld,Red Skelton
Warren Spahn,Whitlow Wyatt
Julia Child,Craig Claiborne
Monique James,Leslie Nielsen
Walter Scheel,Helmut Schmidt
Malcolm P. Levy,John Hughes
Stan Musial,Curt Flood
Michael Sata,Frederick Chiluba
Jules Buck,Marilyn Monroe
Lionel Stander,Henry Fonda
Wallace Potts,Mike Nichols
Sonny Hertzberg,Ralph Kaplowitz
Ted Graber,Betsy Bloomingdale
Astrid Varnay,Birgit Nilsson
Willie Dixon,Lowell Fulson
Simon Wiesenthal,Elie Wiesel
Mary Rolfe,Milton Berle
Eugene Louis Faccuito,Cyd Charisse
Jack Sameth,Mike Wallace
Clayton Yeutter,George Bush
James E. Folsom,George C. Wallace
Diana Adams,Hugh Laing
Carol Sutton,Barry Bingham Sr
Arnold Spohr,Brian Macdonald
Jeremiah B. Bloom,Hugh L. Carey
Jimi Hendrix,Dizzy Gillespie
Daphne Bayne Hellman,Blossom Dearie
Clarence M. Pendleton,Ronald Reagan
Trude Fleischmann,Hedy Lamarr
C. Everett Koop,Edward M. Kennedy
Pierre Fournier,William Primrose
Michel Stuart,Michael Bennett
Robert H. B. Baldwin,Jimmy Carter
Hannah Weinstein,Lillian Hellman
Charles Gwathmey,Robert Siegel
William Styron,James Baldwin
Irving S. Kosloff,Wilt Chamberlain
Paul B. Beeson,Walsh McDermott
Gardner Cox,Dean Rusk
Thomas Steel,Huey P. Newton
Betty Hutton,Carol Burnett
Richard Widmark,Marilyn Monroe
Lindesay Parrott,Douglas MacArthur
Walter O. Heinze,Dorothy West
Brian Friel,Vincent Canby
Cornelius P. Mulder,John Vorster
John D. Deardourff,George W. Romney
Inge Hardison,Ruth Gordon
Jacob K. Javits,Jimmy Carter
Richard E.,Tinton Falls
David Lewis,Ingrid Bergman
Frank E. Fitzsimmons,Dave Beck
Douglas O. Morgan,Erick Hawkins
Louise Jefferson,Tallulah Bankhead
Milton A. Rudin,Marilyn Monroe
Rosemary Clooney,Nelson Riddle
Patrick Rance,Elizabeth David
William G. Lambert,Dave Beck
Martin Caidin,Gregory Peck
Skitch Henderson,Marvin Hamlisch
Orson Welles,Charlton Heston
Sal Yvars,Ralph Branca
Henry D. Hecksher,William S. Heckscher
Charlie Conerly,Jim Lee Howell
Dick Clark,Arthur Godfrey
Randall Thompson,Ernest Bloch
Cypress Hill,Philip K. Dick
Johnny Cunningham,Bob Thomas
Stuart W. Little,Edward H. Little
Michael L. Mussa,Ronald Reagan
Leonard Cohen,Johnny Cash
Milan Stitt,Maureen Stapleton
Ricardo Montalban,Cyd Charisse
Lee Guber,Perry Como
Buenos Aires,Jorge Rafael Videla
Christopher Evan Welch,Woody Allen
Gus Johnson,Jo Jones
George Germon,Vincent A. Cianci Jr.
Ring Lardner Jr.,Michael Kanin
Joan Peyser,Frank Driggs
Mollie Wilmot,John F. Kennedy
Ralph Ginzburg,Marilyn Monroe
Eli Wallach,Barbra Streisand
Earl L. Butz,Richard M. Nixon
