name,dod,gov_of
Thomas Kirker,1837-02-20T00:00:00Z,Governor of Ohio
Thomas Corwin,1865-12-18T00:00:00Z,Governor of Ohio
George K. Nash,1904-10-28T00:00:00Z,Governor of Ohio
David Tod,1868-11-13T00:00:00Z,Governor of Ohio
William Allen,1879-07-11T00:00:00Z,Governor of Ohio
Francis Harrison Pierpont,1899-03-24T00:00:00Z,Governor of Virginia
James McDowell,1851-08-24T00:00:00Z,Governor of Virginia
Thomas Mann Randolph,1828-06-20T00:00:00Z,Governor of Virginia
William Branch Giles,1830-12-04T00:00:00Z,Governor of Virginia
Frederick W. M. Holliday,1899-05-20T00:00:00Z,Governor of Virginia
William Fleming,1795-08-05T00:00:00Z,Governor of Virginia
Albertis S. Harrison,1995-01-23T00:00:00Z,Governor of Virginia
George C. Peery,1952-10-14T00:00:00Z,Governor of Virginia
John Letcher,1884-01-26T00:00:00Z,Governor of Virginia
Colgate Darden,1981-06-09T00:00:00Z,Governor of Virginia
John N. Dalton,1986-07-30T00:00:00Z,Governor of Virginia
James Wood,1813-06-16T00:00:00Z,Governor of Virginia
Nathan Brownson,1796-11-06T00:00:00Z,Governor of Georgia
John A. Treutlen,1782-03-01T00:00:00Z,Governor of Georgia
George Handley,1793-09-17T00:00:00Z,Governor of Georgia
Charles James McDonald,1860-12-16T00:00:00Z,Governor of Georgia
Clifford Walker,1954-11-09T00:00:00Z,Governor of Georgia
Joseph Mackey Brown,1932-03-03T00:00:00Z,Governor of Georgia
David Brydie Mitchell,1837-04-22T00:00:00Z,Governor of Georgia
Henry A. Wise,1876-09-12T00:00:00Z,Governor of Virginia
James Barbour,1842-06-07T00:00:00Z,Governor of Virginia
James L. Kemper,1895-04-07T00:00:00Z,Governor of Virginia
Thomas Bahnson Stanley,1970-07-10T00:00:00Z,Governor of Virginia
Mills E. Godwin,1999-01-30T00:00:00Z,Governor of Virginia
Thomas Nelson,1789-01-04T00:00:00Z,Governor of Virginia
Enoch Louis Lowe,1881-08-23T00:00:00Z,Governor of Maryland
Henry Lloyd,1920-12-30T00:00:00Z,Governor of Maryland
Samuel Sprigg,1855-04-21T00:00:00Z,Governor of Maryland
James Brice,1801-07-11T00:00:00Z,Governor of Maryland
Benjamin Ogle,1809-07-07T00:00:00Z,Governor of Maryland
Robert Bowie,1818-01-08T00:00:00Z,Governor of Maryland
Phillips Lee Goldsborough,1946-10-22T00:00:00Z,Governor of Maryland
Augustus Bradford,1881-03-01T00:00:00Z,Governor of Maryland
John Eager Howard,1827-10-12T00:00:00Z,Governor of Maryland
George Plater,1792-02-10T00:00:00Z,Governor of Maryland
Thomas Watkins Ligon,1881-01-12T00:00:00Z,Governor of Maryland
William Paca,1799-10-23T00:00:00Z,Governor of Maryland
Edward Follansbee Noyes,1890-09-04T00:00:00Z,Governor of Ohio
Myron T. Herrick,1929-03-31T00:00:00Z,Governor of Ohio
John Brough,1865-08-29T00:00:00Z,Governor of Ohio
Edward Tiffin,1829-08-09T00:00:00Z,Governor of Ohio
John William Bricker,1986-03-22T00:00:00Z,Governor of Ohio
Reuben Wood,1864-10-01T00:00:00Z,Governor of Ohio
Martin L. Davey,1946-03-31T00:00:00Z,Governor of Ohio
William Preston Lane,1967-02-07T00:00:00Z,Governor of Maryland
J. Millard Tawes,1979-06-25T00:00:00Z,Governor of Maryland
Elihu Emory Jackson,1907-12-27T00:00:00Z,Governor of Maryland
Harry Nice,1941-02-25T00:00:00Z,Governor of Maryland
Thomas Holliday Hicks,1865-02-13T00:00:00Z,Governor of Maryland
Frank Brown,1920-02-03T00:00:00Z,Governor of Maryland
Mordecai Bartley,1870-10-10T00:00:00Z,Governor of Ohio
Seabury Ford,1855-05-08T00:00:00Z,Governor of Ohio
Joseph B. Foraker,1917-05-10T00:00:00Z,Governor of Ohio
William Bebb,1873-10-23T00:00:00Z,Governor of Ohio
Frank B. Willis,1928-03-30T00:00:00Z,Governor of Ohio
William Dennison,1882-06-15T00:00:00Z,Governor of Ohio
Edmond Noel,1927-07-30T00:00:00Z,Governor of Mississippi
Charles Clark,1877-12-18T00:00:00Z,Governor of Mississippi
Fielding L. Wright,1956-05-04T00:00:00Z,Governor of Mississippi
James P. Coleman,1991-09-28T00:00:00Z,Governor of Mississippi
Robert Lowry,1910-01-19T00:00:00Z,Governor of Mississippi
Charles Lynch,1853-02-09T00:00:00Z,Governor of Mississippi
Richard M. Bishop,1893-03-02T00:00:00Z,Governor of Ohio
John M. Pattison,1906-06-18T00:00:00Z,Governor of Ohio
Charles Anderson,1895-09-02T00:00:00Z,Governor of Ohio
Othniel Looker,1845-07-23T00:00:00Z,Governor of Ohio
Jeremiah Morrow,1852-03-22T00:00:00Z,Governor of Ohio
Gabriel Baldrich y Palau,1885-01-01T00:00:00Z,Governor of Puerto Rico
José Laureano Sanz y Posse,1898-12-22T00:00:00Z,Governor of Puerto Rico
John Francis Mercer,1821-08-30T00:00:00Z,Governor of Maryland
Charles Goldsborough,1834-12-13T00:00:00Z,Governor of Maryland
Robert Wright,1826-09-07T00:00:00Z,Governor of Maryland
Thomas Pratt,1869-11-09T00:00:00Z,Governor of Maryland
Lloyd Lowndes,1905-01-08T00:00:00Z,Governor of Maryland
"Paul B. Johnson, Sr.",1943-12-26T00:00:00Z,Governor of Mississippi
Theodore Gilmore Bilbo,1947-08-21T00:00:00Z,Governor of Mississippi
James K. Vardaman,1930-06-25T00:00:00Z,Governor of Mississippi
Joseph W. Matthews,1862-08-27T00:00:00Z,Governor of Mississippi
Thomas L. Bailey,1946-11-02T00:00:00Z,Governor of Mississippi
James Whitfield,1875-06-25T00:00:00Z,Governor of Mississippi
John Brown Gordon,1904-01-09T00:00:00Z,Governor of Georgia
George Rockingham Gilmer,1859-11-16T00:00:00Z,Governor of Georgia
Marvin Griffin,1982-06-13T00:00:00Z,Governor of Georgia
Zell Miller,2018-03-23T00:00:00Z,Governor of Georgia
James S. Boynton,1902-12-22T00:00:00Z,Governor of Georgia
Matthew Talbot,1827-09-17T00:00:00Z,Governor of Georgia
M. Hoke Smith,1931-11-27T00:00:00Z,Governor of Georgia
Herschel Vespasian Johnson,1880-08-16T00:00:00Z,Governor of Georgia
Joseph E. Brown,1894-11-30T00:00:00Z,Governor of Georgia
James Jackson,1806-03-19T00:00:00Z,Governor of Georgia
Josiah Tattnall,1803-06-06T00:00:00Z,Governor of Georgia
Hiram Bingham III,1956-06-06T00:00:00Z,Governor of Connecticut
Phineas C. Lounsbury,1925-06-22T00:00:00Z,Governor of Connecticut
Abiram Chamberlain,1911-05-15T00:00:00Z,Governor of Connecticut
Abraham A. Ribicoff,1998-02-22T00:00:00Z,Governor of Connecticut
Andrew Jackson Montague,1937-01-24T00:00:00Z,Governor of Virginia
James Pleasants,1836-11-09T00:00:00Z,Governor of Virginia
Charles Triplett O'Ferrall,1905-09-22T00:00:00Z,Governor of Virginia
John B. Floyd,1863-08-26T00:00:00Z,Governor of Virginia
Elbert Lee Trinkle,1939-11-25T00:00:00Z,Governor of Virginia
Richard Howell,1802-04-28T00:00:00Z,Governor of New Jersey
Joel Parker,1888-01-02T00:00:00Z,Governor of New Jersey
Franklin Murphy,1920-02-24T00:00:00Z,Governor of New Jersey
Theodore F. Green,1966-05-19T00:00:00Z,Governor of Rhode Island
Herbert W. Ladd,1913-11-29T00:00:00Z,Governor of Rhode Island
Henry B. Anthony,1884-09-02T00:00:00Z,Governor of Rhode Island
Philip Allen,1865-12-16T00:00:00Z,Governor of Rhode Island
William Jones,1822-04-22T00:00:00Z,Governor of Rhode Island
Elisha Dyer,1890-05-17T00:00:00Z,Governor of Rhode Island
George Franklin Fort,1872-04-22T00:00:00Z,Governor of New Jersey
William Pennington,1862-02-16T00:00:00Z,Governor of New Jersey
Alfred E. Driscoll,1975-03-09T00:00:00Z,Governor of New Jersey
David Ogden Watkins,1938-06-20T00:00:00Z,Governor of New Jersey
William Paterson,1806-09-09T00:00:00Z,Governor of New Jersey
