name,dod,gov_of
Thomas C. Latimore,1942-07-19T00:00:00Z,Governor of American Samoa
James Sutherland Spore,1937-04-28T00:00:00Z,Governor of American Samoa
George Landenberger,1936-01-15T00:00:00Z,Governor of American Samoa
Arthur Emerson,1975-07-28T00:00:00Z,Governor of American Samoa
Gatewood Lincoln,1957-10-15T00:00:00Z,Governor of American Samoa
Jesse Wallace,1961-01-29T00:00:00Z,Governor of American Samoa
Otto Dowling,1946-04-14T00:00:00Z,Governor of American Samoa
Thomas Benjamin Fitzpatrick,1974-01-01T00:00:00Z,Governor of American Samoa
Oliver Henry Shoup,1940-09-30T00:00:00Z,Governor of Colorado
Alva Adams,1922-11-01T00:00:00Z,Governor of Colorado
George Alfred Carlson,1926-12-06T00:00:00Z,Governor of Colorado
Ralph Lawrence Carr,1950-09-22T00:00:00Z,Governor of Colorado
Stephen L.R. McNichols,1997-11-25T00:00:00Z,Governor of Colorado
Edwin C. Johnson,1970-05-30T00:00:00Z,Governor of Colorado
William F. Johnston,1872-10-25T00:00:00Z,Governor of Pennsylvania
John Andrew Shulze,1852-11-18T00:00:00Z,Governor of Pennsylvania
James Pollock,1890-04-19T00:00:00Z,Governor of Pennsylvania
John F. Hartranft,1889-10-17T00:00:00Z,Governor of Pennsylvania
Joseph Hiester,1832-06-10T00:00:00Z,Governor of Pennsylvania
John C. Bell,1974-03-21T00:00:00Z,Governor of Pennsylvania
Simon Snyder,1819-11-09T00:00:00Z,Governor of Pennsylvania
William Findlay,1846-11-12T00:00:00Z,Governor of Pennsylvania
Henry M. Hoyt,1892-12-01T00:00:00Z,Governor of Pennsylvania
David R. Porter,1867-08-06T00:00:00Z,Governor of Pennsylvania
John W. Geary,1873-02-08T00:00:00Z,Governor of Pennsylvania
Thomas McKean,1817-06-24T00:00:00Z,Governor of Pennsylvania
William Michael Crose,1929-04-04T00:00:00Z,Governor of American Samoa
Nathan Post,1938-05-30T00:00:00Z,Governor of American Samoa
John Martin Poyer,1922-05-12T00:00:00Z,Governor of American Samoa
Warren Terhune,1920-11-03T00:00:00Z,Governor of American Samoa
Pedro Tenorio,2018-05-21T00:00:00Z,Governor of the Northern Mariana Islands
Edward Stanley Kellogg,1948-01-08T00:00:00Z,Governor of American Samoa
Stephen Victor Graham,1955-09-02T00:00:00Z,Governor of American Samoa
Henry Francis Bryan,1944-03-19T00:00:00Z,Governor of American Samoa
Harold Houser,1981-09-03T00:00:00Z,Governor of American Samoa
Charles S. McDowell,1943-05-22T00:00:00Z,Governor of Alabama
Earl B. Ruth,1989-08-15T00:00:00Z,Governor of American Samoa
Lawrence M. Judd,1968-10-04T00:00:00Z,Governor of American Samoa
H. Rex Lee,2001-07-26T00:00:00Z,Governor of American Samoa
Peter Tali Coleman,1997-04-28T00:00:00Z,Governor of American Samoa
A. P. Lutali,2002-08-01T00:00:00Z,Governor of American Samoa
Sam V. Stewart,1939-09-15T00:00:00Z,Governor of Montana
Edwin L. Norris,1924-04-25T00:00:00Z,Governor of Montana
Elmer Holt,1945-03-01T00:00:00Z,Governor of Montana
John W. Bonner,1970-03-28T00:00:00Z,Governor of Montana
John E. Erickson,1946-05-25T00:00:00Z,Governor of Montana
Robert Taylor Jones,1958-06-11T00:00:00Z,Governor of Arizona
Wesley Bolin,1978-03-04T00:00:00Z,Governor of Arizona
Raúl Héctor Castro,2015-04-10T00:00:00Z,Governor of Arizona
Evan Mecham,2008-02-21T00:00:00Z,Governor of Arizona
Rawghlie Clement Stanford,1963-12-15T00:00:00Z,Governor of Arizona
Dan Edward Garvey,1974-02-05T00:00:00Z,Governor of Arizona
Beauford H. Jester,1949-07-11T00:00:00Z,Governor of Texas
Richard Coke,1897-05-14T00:00:00Z,Governor of Texas
James W. Throckmorton,1894-04-21T00:00:00Z,Governor of Texas
Dolph Briscoe,2010-06-27T00:00:00Z,Governor of Texas
Hardin Richard Runnels,1873-12-25T00:00:00Z,Governor of Texas
Thomas Mitchell Campbell,1923-04-01T00:00:00Z,Governor of Texas
Abraham J. Williams,1839-12-30T00:00:00Z,Governor of Missouri
William Clark,1838-09-01T00:00:00Z,Governor of Missouri
John S. Marmaduke,1887-12-28T00:00:00Z,Governor of Missouri
Claiborne Fox Jackson,1862-12-06T00:00:00Z,Governor of Missouri
Frederick Walker Pitkin,1886-12-18T00:00:00Z,Governor of Colorado
John Arthur Love,2002-01-21T00:00:00Z,Governor of Colorado
Daniel I.J. Thornton,1976-01-19T00:00:00Z,Governor of Colorado
John David Vanderhoof,2013-09-19T00:00:00Z,Governor of Colorado
James Benton Grant,1911-11-01T00:00:00Z,Governor of Colorado
Davis Hanson Waite,1901-11-27T00:00:00Z,Governor of Colorado
Albert Washington McIntire,1935-01-31T00:00:00Z,Governor of Colorado
Manuel Flores Leon Guerrero,1985-10-09T00:00:00Z,Governor of Guam
Marcellus Boss,1967-03-21T00:00:00Z,Governor of Guam
Richard Barrett Lowe,1972-04-16T00:00:00Z,Governor of Guam
Joseph Flores,1981-12-18T00:00:00Z,Governor of Guam
Bill Daniel,2006-06-20T00:00:00Z,Governor of Guam
James Sutherland Spore,1937-04-28T00:00:00Z,Governor of Guam
Henry Louis Larsen,1962-10-02T00:00:00Z,Governor of Guam
Oran M. Roberts,1898-05-19T00:00:00Z,Governor of Texas
Lawrence Sullivan Ross,1898-01-03T00:00:00Z,Governor of Texas
Richard B. Hubbard,1901-07-12T00:00:00Z,Governor of Texas
William Lee O'Daniel (Pappy),1969-05-11T00:00:00Z,Governor of Texas
John Ireland,1896-03-15T00:00:00Z,Governor of Texas
Karl Rolvaag,1990-12-20T00:00:00Z,Governor of Minnesota
Harold LeVander,1992-03-30T00:00:00Z,Governor of Minnesota
Henry Adoniram Swift,1869-02-25T00:00:00Z,Governor of Minnesota
Alexander Ramsey,1903-04-22T00:00:00Z,Governor of Minnesota
Henry Hastings Sibley,1891-02-18T00:00:00Z,Governor of Minnesota
Wendell Anderson,2016-07-17T00:00:00Z,Governor of Minnesota
Henry Molleston,1819-11-11T00:00:00Z,Governor of Delaware
Thomas Collins,1789-03-29T00:00:00Z,Governor of Delaware
Jehu Davis,1802-05-11T00:00:00Z,Governor of Delaware
James Hamilton Peabody,1917-11-23T00:00:00Z,Governor of Colorado
Walter Walford Johnson,1987-03-23T00:00:00Z,Governor of Colorado
Job Adams Cooper,1899-01-20T00:00:00Z,Governor of Colorado
Teller Ammons,1972-01-16T00:00:00Z,Governor of Colorado
Thomas Clement Fletcher,1899-03-25T00:00:00Z,Governor of Missouri
William M. Stone,1893-07-18T00:00:00Z,Governor of Iowa
William S. Beardsley,1954-11-21T00:00:00Z,Governor of Iowa
Albert P. Morehouse,1891-09-23T00:00:00Z,Governor of Missouri
Alexander McNair,1826-03-18T00:00:00Z,Governor of Missouri
Frank D. Jackson,1938-11-16T00:00:00Z,Governor of Iowa
Ricardo Bordallo,1990-01-31T00:00:00Z,Governor of Guam
David Marston Clough,1924-08-28T00:00:00Z,Governor of Minnesota
Harold Stassen,2001-03-04T00:00:00Z,Governor of Minnesota
Knute Nelson,1923-04-28T00:00:00Z,Governor of Minnesota
Orville Freeman,2003-02-20T00:00:00Z,Governor of Minnesota
Joseph A. A. Burnquist,1961-01-12T00:00:00Z,Governor of Minnesota
Theodore Christianson,1948-12-09T00:00:00Z,Governor of Minnesota
Benjamin Gratz Brown,1885-12-13T00:00:00Z,Governor of Missouri
Trusten Polk,1876-04-16T00:00:00Z,Governor of Missouri
Joseph P. Teasdale,2014-05-08T00:00:00Z,Governor of Missouri
Sterling Price,1867-09-29T00:00:00Z,Governor of Missouri
Mel Carnahan,2000-10-16T00:00:00Z,Governor of Missouri
Paul Martin Pearson,1938-03-26T00:00:00Z,Governor of the United States Virgin Islands
Waldo A. Evans,1936-04-15T00:00:00Z,Governor of the United States Virgin Islands
Lawrence William Cramer,1978-10-18T00:00:00Z,Governor of the United States Virgin Islands
Charles Harwood,1950-10-23T00:00:00Z,Governor of the United States Virgin Islands
Robert Morss Lovett,1956-02-08T00:00:00Z,Governor of the United States Virgin Islands
John David Merwin,2013-03-17T00:00:00Z,Governor of the United States Virgin Islands
Walter A. Gordon,1976-04-02T00:00:00Z,Governor of the United States Virgin Islands
William W. Brandon,1934-12-07T00:00:00Z,Governor of Alabama
Joshua L. Martin,1856-11-02T00:00:00Z,Governor of Alabama
Robert B. Lindsay,1902-02-13T00:00:00Z,Governor of Alabama
Wager Swayne,1902-12-18T00:00:00Z,Governor of Alabama
Robert M. Patton,1885-02-28T00:00:00Z,Governor of Alabama
William J. Samford,1901-06-11T00:00:00Z,Governor of Alabama
Chauncey Sparks,1968-11-06T00:00:00Z,Governor of Alabama
Edwin Taylor Pollock,1943-06-04T00:00:00Z,Governor of American Samoa
Waldo A. Evans,1936-04-15T00:00:00Z,Governor of American Samoa
Richard Barrett Lowe,1972-04-16T00:00:00Z,Governor of American Samoa
Charles Brainard Taylor Moore,1923-04-04T00:00:00Z,Governor of American Samoa
John Frederick Parker,1911-12-12T00:00:00Z,Governor of American Samoa
Clark Daniel Stearns,1944-05-25T00:00:00Z,Governor of American Samoa
Charles Armijo Woodruff,1945-11-23T00:00:00Z,Governor of American Samoa
Jack Richard Williams,1998-08-24T00:00:00Z,Governor of Arizona
Paul Fannin,2002-01-13T00:00:00Z,Governor of Arizona
George W. P. Hunt,1934-12-24T00:00:00Z,Governor of Arizona
Ernest William McFarland,1984-06-08T00:00:00Z,Governor of Arizona
David William Davis,1959-08-05T00:00:00Z,Governor of Idaho
Joseph Marshall Walker,1856-01-20T00:00:00Z,Governor of Louisiana
Joseph Marshall Walker,1856-01-26T00:00:00Z,Governor of Louisiana
William Hugh Smith,1899-01-01T00:00:00Z,Governor of Alabama
Braxton Bragg Comer,1927-08-15T00:00:00Z,Governor of Alabama
Benjamin Fitzpatrick,1869-11-21T00:00:00Z,Governor of Alabama
Israel Pickens,1827-04-24T00:00:00Z,Governor of Alabama
Thomas Bibb,1839-09-20T00:00:00Z,Governor of Alabama
Samuel B. Moore,1846-11-07T00:00:00Z,Governor of Alabama
William J. McConnell,1925-03-30T00:00:00Z,Governor of Idaho
John T. Morrison,1915-12-20T00:00:00Z,Governor of Idaho
Barzilla W. Clark,1943-09-21T00:00:00Z,Governor of Idaho
Arnold Williams,1970-05-25T00:00:00Z,Governor of Idaho
Don Samuelson,2000-01-20T00:00:00Z,Governor of Idaho
C. A. Robins,1970-09-20T00:00:00Z,Governor of Idaho
Henry S. Caulfield,1966-05-11T00:00:00Z,Governor of Missouri
"James T. Blair, Jr.",1962-07-12T00:00:00Z,Governor of Missouri
Willard Preble Hall,1882-11-02T00:00:00Z,Governor of Missouri
John Cummins Edwards,1888-10-14T00:00:00Z,Governor of Missouri
John M. Dalton,1972-07-07T00:00:00Z,Governor of Missouri
Joseph W. Folk,1923-05-29T00:00:00Z,Governor of Missouri
Coke R. Stevenson,1975-06-28T00:00:00Z,Governor of Texas
Edward Clark,1880-05-04T00:00:00Z,Governor of Texas
Bill Clements,2011-05-29T00:00:00Z,Governor of Texas
Mark White,2017-08-05T00:00:00Z,Governor of Texas
Price Daniel,1988-08-25T00:00:00Z,Governor of Texas
John McLane,1911-04-13T00:00:00Z,Governor of New Hampshire
William Plumer,1850-12-22T00:00:00Z,Governor of New Hampshire
Charles M. Dale,1978-09-28T00:00:00Z,Governor of New Hampshire
Vesta M. Roy,2002-02-08T00:00:00Z,Governor of New Hampshire
Noah Martin,1863-05-28T00:00:00Z,Governor of New Hampshire
Henry Hubbard,1857-06-05T00:00:00Z,Governor of New Hampshire
Francis R. Shunk,1848-07-20T00:00:00Z,Governor of Pennsylvania
John H. Gear,1900-07-14T00:00:00Z,Governor of Iowa
James W. Grimes,1872-02-07T00:00:00Z,Governor of Iowa
Bourke B. Hickenlooper,1971-09-04T00:00:00Z,Governor of Iowa
Nathan E. Kendall,1936-11-05T00:00:00Z,Governor of Iowa
Clyde L. Herring,1945-09-15T00:00:00Z,Governor of Iowa
Ralph Moses Paiewonsky,1991-11-09T00:00:00Z,Governor of the United States Virgin Islands
Ralph Moses Paiewonsky,1991-11-19T00:00:00Z,Governor of the United States Virgin Islands
Cyril King,1978-01-02T00:00:00Z,Governor of the United States Virgin Islands
Morris Fidanque de Castro,1966-12-09T00:00:00Z,Governor of the United States Virgin Islands
Archibald Alexander,1958-01-04T00:00:00Z,Governor of the United States Virgin Islands
Juan Francisco Luis,2011-06-04T00:00:00Z,Governor of the United States Virgin Islands
Alexander Farrelly,2002-09-10T00:00:00Z,Governor of the United States Virgin Islands
Charles Kenneth Claunch,1978-11-09T00:00:00Z,Governor of the United States Virgin Islands
Seaton Schroeder,1922-10-19T00:00:00Z,Governor of Guam
Templin Potts,1927-03-22T00:00:00Z,Governor of Guam
William A. Hodgman,1967-02-09T00:00:00Z,Governor of Guam
William Elbridge Sewell,1904-03-18T00:00:00Z,Governor of Guam
William Gilmer,1955-01-08T00:00:00Z,Governor of Guam
William P. Cronan,1929-03-18T00:00:00Z,Governor of Guam
William Swift,1919-06-30T00:00:00Z,Governor of Guam
Ivan Wettengel,1935-02-19T00:00:00Z,Governor of Guam
Robert Herrick,1938-12-23T00:00:00Z,Governor of the United States Virgin Islands
William H. Hastie,1976-04-14T00:00:00Z,Governor of the United States Virgin Islands
Melvin H. Evans,1984-11-27T00:00:00Z,Governor of the United States Virgin Islands
Charles S. Thomas,1931-06-24T00:00:00Z,Governor of Colorado
Robert Marcellus Stewart,1871-09-21T00:00:00Z,Governor of Missouri
Daniel Dunklin,1844-08-25T00:00:00Z,Governor of Missouri
Forrest Smith,1962-03-08T00:00:00Z,Governor of Missouri
Warren E. Hearnes,2009-08-16T00:00:00Z,Governor of Missouri
Meredith Miles Marmaduke,1864-03-26T00:00:00Z,Governor of Missouri
Arthur M. Hyde,1947-10-17T00:00:00Z,Governor of Missouri
Winfield Scott Hammond,1915-12-30T00:00:00Z,Governor of Minnesota
Hjalmar Petersen,1968-03-29T00:00:00Z,Governor of Minnesota
Stephen Miller,1881-08-18T00:00:00Z,Governor of Minnesota
Floyd B. Olson,1936-08-22T00:00:00Z,Governor of Minnesota
J. A. O. Preus I,1961-05-24T00:00:00Z,Governor of Minnesota
Luther Youngdahl,1978-06-21T00:00:00Z,Governor of Minnesota
Francisco Portusach Martínez,1919-01-01T00:00:00Z,Governor of Guam
Forrest C. Donnell,1980-03-03T00:00:00Z,Governor of Missouri
James Wilkinson,1825-12-28T00:00:00Z,Governor of Missouri
Phil M. Donnelly,1961-09-12T00:00:00Z,Governor of Missouri
Herbert S. Hadley,1927-12-01T00:00:00Z,Governor of Missouri
Charles Henry Hardin,1892-07-29T00:00:00Z,Governor of Missouri
Sam Aaron Baker,1933-09-16T00:00:00Z,Governor of Missouri
Lloyd C. Stark,1972-09-17T00:00:00Z,Governor of Missouri
John Miller,1846-03-18T00:00:00Z,Governor of Missouri
Hamilton Rowan Gamble,1864-01-31T00:00:00Z,Governor of Missouri
Guy Brasfield Park,1946-10-01T00:00:00Z,Governor of Missouri
Hancock Lee Jackson,1876-03-19T00:00:00Z,Governor of Missouri
Frederick Bates,1825-08-04T00:00:00Z,Governor of Missouri
Frederick D. Gardner,1933-12-18T00:00:00Z,Governor of Missouri
William Edwin Safford,1926-01-10T00:00:00Z,Governor of Guam
Adelbert Althouse,1954-05-17T00:00:00Z,Governor of Guam
Alfred Walton Hinds,1957-12-25T00:00:00Z,Governor of Guam
Alfred Winsor Brown,1938-09-07T00:00:00Z,Governor of Guam
Benjamin McCandlish,1975-10-16T00:00:00Z,Governor of Guam
Charles Alan Pownall,1975-07-19T00:00:00Z,Governor of Guam
Edmund Root,1961-02-27T00:00:00Z,Governor of Guam
Edward D. Taussig,1921-01-29T00:00:00Z,Governor of Guam
Edward John Dorn,1937-01-01T00:00:00Z,Governor of Guam
Carlos Camacho,1979-12-06T00:00:00Z,Governor of Guam
Robert Coontz,1935-01-26T00:00:00Z,Governor of Guam
Roy Geiger,1947-01-23T00:00:00Z,Governor of Guam
Willis Winter Bradley,1954-08-27T00:00:00Z,Governor of Guam
Carlton Skinner,2004-06-22T00:00:00Z,Governor of Guam
William Corbett,1971-04-17T00:00:00Z,Governor of Guam
Ford Quint Elvidge,1980-07-14T00:00:00Z,Governor of Guam
Herschel C. Loveless,1989-05-04T00:00:00Z,Governor of Iowa
John Hammill,1936-04-06T00:00:00Z,Governor of Iowa
Joshua G. Newbold,1903-06-10T00:00:00Z,Governor of Iowa
Norman A. Erbe,2000-06-08T00:00:00Z,Governor of Iowa
William Larrabee,1912-11-16T00:00:00Z,Governor of Iowa
Leo Elthon,1967-04-16T00:00:00Z,Governor of Iowa
Ralph P. Lowe,1883-12-22T00:00:00Z,Governor of Iowa
Alexander Monroe Dockery,1926-12-26T00:00:00Z,Governor of Missouri
Austin Augustus King,1870-04-22T00:00:00Z,Governor of Missouri
Lilburn Boggs,1860-03-14T00:00:00Z,Governor of Missouri
Silas Woodson,1896-10-09T00:00:00Z,Governor of Missouri
Thomas Reynolds,1844-02-09T00:00:00Z,Governor of Missouri
David R. Francis,1927-01-15T00:00:00Z,Governor of Missouri
William J. Stone,1918-04-14T00:00:00Z,Governor of Missouri
Person Colby Cheney,1901-06-19T00:00:00Z,Governor of New Hampshire
Frank Herman Schofield,1942-03-21T00:00:00Z,Governor of Guam
George A. Alexander,1969-01-01T00:00:00Z,Governor of Guam
George Leland Dyer,1914-04-02T00:00:00Z,Governor of Guam
George McMillin,1983-08-29T00:00:00Z,Governor of Guam
Henry Bertram Price,1941-09-23T00:00:00Z,Governor of Guam
Henry Glass,1908-09-01T00:00:00Z,Governor of Guam
James Thomas Alexander,1952-01-16T00:00:00Z,Governor of Guam
Joaquín Cruz Pérez,1939-01-01T00:00:00Z,Governor of Guam
Lloyd Stowell Shapley,1969-08-16T00:00:00Z,Governor of Guam
Louis A. Kaiser,1939-01-01T00:00:00Z,Governor of Guam
Luke McNamee,1952-12-30T00:00:00Z,Governor of Guam
Richard P. Leary,1901-12-27T00:00:00Z,Governor of Guam
Roy Campbell Smith,1940-04-11T00:00:00Z,Governor of Guam
Edwin Taylor Pollock,1943-06-04T00:00:00Z,Governor of the United States Virgin Islands
Sumner Ely Wetmore Kittelle,1950-12-29T00:00:00Z,Governor of the United States Virgin Islands
Henry Hughes Hough,1943-09-09T00:00:00Z,Governor of the United States Virgin Islands
Philip Williams,1942-10-31T00:00:00Z,Governor of the United States Virgin Islands
Martin Edward Trench,1927-01-06T00:00:00Z,Governor of the United States Virgin Islands
Joseph Wallace Oman,1941-07-01T00:00:00Z,Governor of the United States Virgin Islands
James Harrison Oliver,1928-04-06T00:00:00Z,Governor of the United States Virgin Islands
Jim Hogg,1906-03-03T00:00:00Z,Governor of Texas
Edmund J. Davis,1883-02-07T00:00:00Z,Governor of Texas
"William Pettus Hobby, Sr.",1964-06-07T00:00:00Z,Governor of Texas
James Allred,1959-09-24T00:00:00Z,Governor of Texas
Elisha M. Pease,1883-08-26T00:00:00Z,Governor of Texas
S. W. T. Lanham,1908-07-29T00:00:00Z,Governor of Texas
Joseph W. McClurg,1900-12-02T00:00:00Z,Governor of Missouri
Lon Vest Stephens,1923-01-10T00:00:00Z,Governor of Missouri
